# Branch deletion recovery record — 2026-07-23
# Recover any branch with: git branch <name> <sha>
# Category A (merged into origin/main / dead dependabot — also in reflog ~90d):
claude/amazing-edison-56cd64              cd02abb
claude/dreamy-cerf-bd901a                 9dd0a5b
claude/frosty-cerf-66e28b                 9119065
claude/gracious-jennings-761c51           9dd0a5b
claude/intelligent-mendel-476105          9119065
claude/modest-agnesi-83743b               67e3285
claude/upbeat-bassi-d7bb76                729f8c7
claude/vigorous-liskov-5150b6             abdd920
codex/nota-prelaunch-ready                b2efd6c
nota-rebrand-and-audit                    249873a
local-react-bump                          e4515cc
local-dependabot/npm_and_yarn/eslint-10.6.0        b3b4922
local-dependabot/npm_and_yarn/framer-motion-12.42.2 be1dd2f
local-dependabot/npm_and_yarn/react-19.2.7         b362e00
local-dependabot/npm_and_yarn/react-dom-19.2.7     b22c070
# Category B (UNMERGED — unique commits; recover from these SHAs if needed):
feat/knowledge-engine                     978eb47
chore/decouple-hardcoded-repo-paths       5db9b53
claude/sad-nobel-037339                   2170f43
copilot/worktree-2026-07-13T20-43-30      e0aa37a
